"Base","Target","Rate","Fetched At"
"USD","USD","1","Sun, 24 May 2026 00:02:32 +0000"
"USD","AED","3.6725","Sun, 24 May 2026 00:02:32 +0000"
"USD","AFN","63.704817","Sun, 24 May 2026 00:02:32 +0000"
"USD","ALL","82.146262","Sun, 24 May 2026 00:02:32 +0000"
"USD","AMD","367.772139","Sun, 24 May 2026 00:02:32 +0000"
"USD","ANG","1.79","Sun, 24 May 2026 00:02:32 +0000"
"USD","AOA","924.454024","Sun, 24 May 2026 00:02:32 +0000"
"USD","ARS","1393.5019","Sun, 24 May 2026 00:02:32 +0000"
"USD","AUD","1.402534","Sun, 24 May 2026 00:02:32 +0000"
"USD","AWG","1.79","Sun, 24 May 2026 00:02:32 +0000"
"USD","AZN","1.700348","Sun, 24 May 2026 00:02:32 +0000"
"USD","BAM","1.685853","Sun, 24 May 2026 00:02:32 +0000"
"USD","BBD","2","Sun, 24 May 2026 00:02:32 +0000"
"USD","BDT","122.887873","Sun, 24 May 2026 00:02:32 +0000"
"USD","BGN","1.685853","Sun, 24 May 2026 00:02:32 +0000"
"USD","BHD","0.376","Sun, 24 May 2026 00:02:32 +0000"
"USD","BIF","2985.336848","Sun, 24 May 2026 00:02:32 +0000"
"USD","BMD","1","Sun, 24 May 2026 00:02:32 +0000"
"USD","BND","1.279729","Sun, 24 May 2026 00:02:32 +0000"
"USD","BOB","6.926371","Sun, 24 May 2026 00:02:32 +0000"
"USD","BRL","5.010865","Sun, 24 May 2026 00:02:32 +0000"
"USD","BSD","1","Sun, 24 May 2026 00:02:32 +0000"
"USD","BTN","95.881986","Sun, 24 May 2026 00:02:32 +0000"
"USD","BWP","13.934912","Sun, 24 May 2026 00:02:32 +0000"
"USD","BYN","2.739903","Sun, 24 May 2026 00:02:32 +0000"
"USD","BZD","2","Sun, 24 May 2026 00:02:32 +0000"
"USD","CAD","1.380305","Sun, 24 May 2026 00:02:32 +0000"
"USD","CDF","2252.821402","Sun, 24 May 2026 00:02:32 +0000"
"USD","CHF","0.785791","Sun, 24 May 2026 00:02:32 +0000"
"USD","CLF","0.022761","Sun, 24 May 2026 00:02:32 +0000"
"USD","CLP","899.662037","Sun, 24 May 2026 00:02:32 +0000"
"USD","CNH","6.797398","Sun, 24 May 2026 00:02:32 +0000"
"USD","CNY","6.812416","Sun, 24 May 2026 00:02:32 +0000"
"USD","COP","3734.428834","Sun, 24 May 2026 00:02:32 +0000"
"USD","CRC","452.451004","Sun, 24 May 2026 00:02:32 +0000"
"USD","CUP","24","Sun, 24 May 2026 00:02:32 +0000"
"USD","CVE","95.044331","Sun, 24 May 2026 00:02:32 +0000"
"USD","CZK","20.932171","Sun, 24 May 2026 00:02:32 +0000"
"USD","DJF","177.721","Sun, 24 May 2026 00:02:32 +0000"
"USD","DKK","6.431871","Sun, 24 May 2026 00:02:32 +0000"
"USD","DOP","58.904592","Sun, 24 May 2026 00:02:32 +0000"
"USD","DZD","132.808052","Sun, 24 May 2026 00:02:32 +0000"
"USD","EGP","52.921625","Sun, 24 May 2026 00:02:32 +0000"
"USD","ERN","15","Sun, 24 May 2026 00:02:32 +0000"
"USD","ETB","157.530515","Sun, 24 May 2026 00:02:32 +0000"
"USD","EUR","0.861963","Sun, 24 May 2026 00:02:32 +0000"
"USD","FJD","2.207765","Sun, 24 May 2026 00:02:32 +0000"
"USD","FKP","0.744718","Sun, 24 May 2026 00:02:32 +0000"
"USD","FOK","6.431869","Sun, 24 May 2026 00:02:32 +0000"
"USD","GBP","0.744718","Sun, 24 May 2026 00:02:32 +0000"
"USD","GEL","2.671848","Sun, 24 May 2026 00:02:32 +0000"
"USD","GGP","0.744718","Sun, 24 May 2026 00:02:32 +0000"
"USD","GHS","11.607676","Sun, 24 May 2026 00:02:32 +0000"
"USD","GIP","0.744718","Sun, 24 May 2026 00:02:32 +0000"
"USD","GMD","74.17776","Sun, 24 May 2026 00:02:32 +0000"
"USD","GNF","8763.76063","Sun, 24 May 2026 00:02:32 +0000"
"USD","GTQ","7.627551","Sun, 24 May 2026 00:02:32 +0000"
"USD","GYD","209.151844","Sun, 24 May 2026 00:02:32 +0000"
